"Fecha;Hora;Texto_aviso_WinCC;Lugar_de_averia;Nombre_de_usuario"
"22/11/18;10:41:00 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:40:46 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:38:39 AM;Tunel Vila Olimpica 1 (Analizador2):    Potencia Reactiva bajo mónimos.;VilaOlimp1;"
"22/11/18;10:38:03 AM;Tunel Maquinista:    Alarma Intrusion;Maquinista;"
"22/11/18;10:37:53 AM;Tunel Maquinista:    Alarma Intrusion;Maquinista;"
"22/11/18;10:35:45 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;10:35:31 AM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;10:34:43 AM;Tunel Poble Nou:     Fallo Comunicación;Poble Nou;"
"22/11/18;10:29:45 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;10:27:43 AM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;10:26:49 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:26:21 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:24:03 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:23:37 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:23:27 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
"22/11/18;10:18:31 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:18:11 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:16:45 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:16:31 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:16:17 AM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;10:13:19 AM;Pozo 8:    Fallo Comunicación;Pozo 8;"
